epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.45599,1.1003,4.74496,1.1635,0,0,0,0,0.65206,4.14504,0.83557,1e-05,1e-05,1e-05
2,13.8813,1.09488,4.65393,1.16132,0,0,0,0,0.58496,4.13119,0.82898,2.37625e-05,2.37625e-05,2.37625e-05
3,17.9924,1.04459,4.46241,1.0978,0,0,0,0,0.54367,4.1336,0.82414,3.604e-05,3.604e-05,3.604e-05
4,21.9772,0.8021,4.47981,1.02177,0,0,0,0,0.54117,4.10716,0.83294,4.68325e-05,4.68325e-05,4.68325e-05
5,25.6109,0.92076,4.3994,1.03025,0,0,0,0,0.51368,4.08212,0.82709,5.614e-05,5.614e-05,5.614e-05
6,29.7726,0.83607,3.98351,0.9838,0,0,0,0,0.47473,4.06762,0.81744,6.39625e-05,6.39625e-05,6.39625e-05
7,33.7969,0.83029,3.93932,1.0558,1,0.375,0.68748,0.61873,0.446,4.04284,0.80738,7.03e-05,7.03e-05,7.03e-05
8,38.1823,0.79158,3.67594,1.00705,1,0.75,0.875,0.79896,0.43602,4.02687,0.8059,7.51525e-05,7.51525e-05,7.51525e-05
9,42.4801,0.74494,3.75352,0.94594,1,1,0.995,0.90514,0.43922,3.99259,0.80084,7.852e-05,7.852e-05,7.852e-05
10,46.9363,0.8019,3.60221,1.01219,1,1,0.995,0.90514,0.45475,3.97999,0.79982,8.04025e-05,8.04025e-05,8.04025e-05
11,51.4937,0.71092,4.2835,0.92437,1,1,0.995,0.90514,0.50549,3.93894,0.80563,8.08e-05,8.08e-05,8.08e-05
12,55.7921,0.70386,4.06242,0.88132,1,1,0.995,0.90253,0.52504,3.9155,0.81117,7.97125e-05,7.97125e-05,7.97125e-05
13,59.9022,0.6636,3.95263,0.86062,1,1,0.995,0.90921,0.5284,3.82482,0.81872,7.714e-05,7.714e-05,7.714e-05
14,64.6002,0.61426,3.83633,0.90108,0.88889,1,0.995,0.9013,0.51768,3.76035,0.8142,7.30825e-05,7.30825e-05,7.30825e-05
15,68.8707,0.6958,3.87453,0.87113,0.66667,1,0.995,0.92452,0.47038,3.65173,0.80373,6.754e-05,6.754e-05,6.754e-05
16,73.7979,0.67796,3.72466,0.91887,0.61538,1,0.995,0.9106,0.4583,3.59595,0.80066,6.05125e-05,6.05125e-05,6.05125e-05
17,78.0063,0.58561,3.47962,0.87234,0.47059,1,0.995,0.92222,0.45211,3.48117,0.79683,5.2e-05,5.2e-05,5.2e-05
18,82.3364,0.60356,3.31117,0.80402,0.42105,1,0.995,0.92581,0.45587,3.40743,0.79703,4.20025e-05,4.20025e-05,4.20025e-05
19,86.6654,0.61585,3.17302,0.89317,0.4,1,0.995,0.92556,0.45896,3.33748,0.79744,3.052e-05,3.052e-05,3.052e-05
20,90.6839,0.58996,3.30459,0.90595,0.38095,1,0.995,0.93466,0.46158,3.26391,0.79821,1.75525e-05,1.75525e-05,1.75525e-05
